Vendor | Marketing Name | Device | Model
Samsung | Galaxy A5 | a5ltechn | SM-A5000
Samsung | Galaxy A5 | a5ltechn | SM-A500X
Samsung | Galaxy A5 | a5ltectc | SM-A5009
Samsung | Galaxy A5 | a5ltezh | SM-A5000
Samsung | Galaxy A5 | a5ltezt | SM-A500YZ
Samsung | Galaxy A5 | a5ulte | SM-A500FU
Samsung | Galaxy A5 | a5ulte | SM-A500Y
Samsung | Galaxy A5 | a5ultebmc | SM-A500W
Samsung | Galaxy A5 | a5ultektt | SM-A500K
Samsung | Galaxy A5 | a5ultelgt | SM-A500L
Samsung | Galaxy A5 | a5ulteskt | SM-A500F1
Samsung | Galaxy A5 | a5ulteskt | SM-A500S
Samsung | Galaxy A5(2016) | a5xelte | SM-A510F
Samsung | Galaxy A5(2016) | a5xelte | SM-A510M
Samsung | Galaxy A5(2016) | a5xelte | SM-A510X
Samsung | Galaxy A5(2016) | a5xelte | SM-A510Y
Samsung | Galaxy A5(2016) | a5xeltecmcc | SM-A5108
Samsung | Galaxy A5(2016) | a5xeltektt | SM-A510K
Samsung | Galaxy A5(2016) | a5xeltelgt | SM-A510L
Samsung | Galaxy A5(2016) | a5xelteskt | SM-A510S
Samsung | Galaxy A5(2016) | a5xeltextc | SM-A510Y
Samsung | Galaxy A5(2016) | a5xltechn | SM-A5100
Samsung | Galaxy A5(2016) | a5xltechn | SM-A5100X
Samsung | Galaxy A5(2016) | a5xltechn | SM-A510XZ
Samsung | Galaxy A5(2017) | a5y17lte | SM-A520F
Samsung | Galaxy A5(2017) | a5y17lte | SM-A520X
Samsung | Galaxy A5(2017) | a5y17ltecan | SM-A520W
Samsung | Galaxy A5(2017) | a5y17ltektt | SM-A520K
Samsung | Galaxy A5(2017) | a5y17ltelgt | SM-A520L
Samsung | Galaxy A5(2017) | a5y17lteskt | SM-A520S
Samsung | Galaxy A5x(2016) | a5xeltextc | SM-A510Y
Samsung | Galaxy A7 | a73g | SM-A700H
Samsung | Galaxy A7 | a7alte | SM-A700F
Samsung | Galaxy A7 | a7lte | SM-A700FD
Samsung | Galaxy A7 | a7lte | SM-A700X
Samsung | Galaxy A7 | a7ltechn | SM-A7000
Samsung | Galaxy A7 | a7ltechn | SM-A700YD
Samsung | Galaxy A7 | a7ltectc | SM-A7009
Samsung | Galaxy A7 | a7ltektt | SM-A700K
Samsung | Galaxy A7 | a7ltelgt | SM-A700L
Samsung | Galaxy A7 | a7lteskt | SM-A700S
Samsung | Galaxy A7(2016) | a7xelte | SM-A710F
Samsung | Galaxy A7(2016) | a7xelte | SM-A710M
Samsung | Galaxy A7(2016) | a7xelte | SM-A710X
Samsung | Galaxy A7(2016) | a7xeltecmcc | SM-A7108
Samsung | Galaxy A7(2016) | a7xeltektt | SM-A710K
Samsung | Galaxy A7(2016) | a7xeltelgt | SM-A710L
Samsung | Galaxy A7(2016) | a7xelteskt | SM-A710S
Samsung | Galaxy A7(2016) | a7xeltextc | SM-A710Y
Samsung | Galaxy A7(2016) | a7xltechn | SM-A7100
Samsung | Galaxy A7(2017) | a7y17lte | SM-A720F
Samsung | Galaxy A7(2017) | a7y17lteskt | SM-A720S
Samsung | Galaxy A8 | a8elte | SM-A800F
Samsung | Galaxy A8 | a8elte | SM-A800YZ
Samsung | Galaxy A8 | a8elteskt | SM-A800S
Samsung | Galaxy A8 | a8hplte | SM-A800I
Samsung | Galaxy A8 | a8hplte | SM-A800IZ
Samsung | Galaxy A8 | a8ltechn | SM-A8000
Samsung | Galaxy A8 | a8ltechn | SM-A800X
Samsung | Galaxy A8 | SCV32 | SCV32
Samsung | Galaxy A8(2016) | a8xelte | SM-A810F
Samsung | Galaxy A8(2016) | a8xelte | SM-A810YZ
Samsung | Galaxy A8(2016) | a8xelteskt | SM-A810S
Samsung | Galaxy A9 Pro | a9xproltechn | SM-A9100
Samsung | Galaxy A9 Pro | a9xproltesea | SM-A910F
Samsung | Galaxy A9(2016) | a9xltechn | SM-A9000
Samsung | Galaxy Ace 4 Lite | vivalto3g | SM-G313U
Samsung | Galaxy Ace 4 | vivaltods5m | SM-G313HU
Samsung | Galaxy Ace 4 | vivaltods5m | SM-G313HY
Samsung | Galaxy Ace 4 | vivaltods5m | SM-G313M
Samsung | Galaxy Ace 4 | vivaltods5m | SM-G313MY
Samsung | Galaxy Ace Advance | GT-S6800 | GT-S6800
Samsung | Galaxy Ace Duos | GT-S6352 | GT-S6352
Samsung | Galaxy Ace Duos | GT-S6802 | GT-S6802
Samsung | Galaxy Ace Duos | GT-S6802B | GT-S6802B
Samsung | Galaxy Ace Duos | SCH-I579 | SCH-i579
Samsung | Galaxy Ace Duos | SCH-i579 | SCH-i579
Samsung | Galaxy Ace Duos | SCH-I589 | SCH-I589
Samsung | Galaxy Ace Duos | SCH-I589 | SCH-i589
Samsung | Galaxy Ace Duos | SCH-i589 | SCH-i589
Samsung | Galaxy Ace Plus | GT-S7500 | GT-S7500
Samsung | Galaxy Ace Plus | GT-S7500L | GT-S7500L
Samsung | Galaxy Ace Plus | GT-S7500T | GT-S7500T
Samsung | Galaxy Ace Plus | GT-S7500W | GT-S7500W
Samsung | Galaxy Ace Plus | GT-S7508 | GT-S7508
Samsung | Galaxy Ace Q | SGH-I827D | SGH-I827D
Samsung | Galaxy Ace Style | heat3gtfnvzw | SM-S765C
Samsung | Galaxy Ace Style | heat3gtfnvzw | SM-S766C
Samsung | Galaxy Ace Style | heatnfc3g | SM-G310HN
Samsung | Galaxy Ace Style | heatqlte | SM-G357FZ
Samsung | Galaxy Ace | GT-S5830 | GT-S5830
Samsung | Galaxy Ace | GT-S5830B | GT-S5830B
Samsung | Galaxy Ace | GT-S5830C | GT-S5830C
Samsung | Galaxy Ace | GT-S5830D | GT-S5830D
Samsung | Galaxy Ace | GT-S5830F | GT-S5830F
Samsung | Galaxy Ace | GT-S5830G | GT-S5830G
Samsung | Galaxy Ace | GT-S5830i | GT-S5830i
Samsung | Galaxy Ace | GT-S5830L | GT-S5830L
Samsung | Galaxy Ace | GT-S5830M | GT-S5830M
Samsung | Galaxy Ace | GT-S5830T | GT-S5830T
Samsung | Galaxy Ace | GT-S5831i | GT-S5831i
Samsung | Galaxy Ace | GT-S5838 | GT-S5838
Samsung | Galaxy Ace | GT-S5839i | GT-S5839i
Samsung | Galaxy Ace | GT-S6358 | GT-S6358
Samsung | Galaxy Ace | heat3gou | SM-G310R5
Samsung | Galaxy Ace | heatlte | SM-G357M
Samsung | Galaxy Ace | SCH-I619 | SCH-I619
Samsung | Galaxy Ace | SHW-M240S | SHW-M240S
Samsung | Galaxy Ace2 X | kylessopen | GT-S7560
Samsung | Galaxy Ace2 X | kylessopen | GT-S7560M
Samsung | Galaxy Ace2 | GT-I8160 | GT-I8160
Samsung | Galaxy Ace2 | GT-I8160L | GT-I8160L
Samsung | Galaxy Ace2 | GT-I8160P | GT-I8160P
Samsung | Galaxy Ace3 Duos TV | logandsdtv | GT-S7273T
Samsung | Galaxy Ace3 Duos | loganlite3g | GT-S7272C
Samsung | Galaxy Ace3 Duos | loganu3gcmcc | GT-S7278U
Samsung | Galaxy Ace3 | logan | GT-S7270
Samsung | Galaxy Ace3 | logan | GT-S7270L
Samsung | Galaxy Ace3 | logan | SCH-I679
Samsung | Galaxy Ace3 | logan3gcmcc | GT-S7278
Samsung | Galaxy Ace3 | logands | GT-S7272
Samsung | Galaxy Ace3 | loganlte | GT-S7275
Samsung | Galaxy Ace3 | loganrelte | GT-S7275B
Samsung | Galaxy Ace3 | loganrelte | GT-S7275R
Samsung | Galaxy Ace3 | loganrelte | GT-S7275T
Samsung | Galaxy Ace3 | loganrelte | GT-S7275Y
Samsung | Galaxy Ace4 Lite | vivalto | SM-G3139D
Samsung | Galaxy Ace4 Lite | vivalto3g | SM-G313H
Samsung | Galaxy Ace4 Lite | vivalto3mve3gltn | SM-G316U
Samsung | Galaxy Ace4 Lite | vivalto3mveml3g | SM-G318H
Samsung | Galaxy Ace4 Lite | vivalto3mveml3g | SM-G318ML
Samsung | Galaxy Ace4 Lite | vivalto3mveml3gsea | SM-G318HZ
Samsung | Galaxy Ace4 Lite | vivalto3mveml3gsea | SM-G318MZ
Samsung | Galaxy Ace4 Neo | vivalto3mve3gltn | SM-G316ML
Samsung | Galaxy Ace4 | vivalto3g | SM-G313ML
Samsung | Galaxy Ace4 | vivalto3mve3g | SM-G316H
Samsung | Galaxy Ace4 | vivalto5mve3g | SM-G316HU
Samsung | Galaxy Ace4 | vivalto5mve3g | SM-G316M
Samsung | Galaxy Ace4 | vivalto5mve3g | SM-G316MY
Samsung | Galaxy Ace4 | vivaltolte | SM-G313F
Samsung | Galaxy Ace4 | vivaltolte | SM-G313MU
Samsung | Galaxy Ace4 | vivaltonfc3g | SM-G313HN
Samsung | Galaxy Active neo | SC-01H | SC-01H
Samsung | Galaxy Admire 2 | goghcri | SCH-R830C
Samsung | Galaxy Admire | SCH-R820 | SCH-R820
Samsung | Galaxy Alpha | slte | SM-G850F
Samsung | Galaxy Alpha | slte | SM-G850FQ
Samsung | Galaxy Alpha | slte | SM-G850M
Samsung | Galaxy Alpha | slte | SM-G850X
Samsung | Galaxy Alpha | slte | SM-G850Y
Samsung | Galaxy Alpha | slteatt Samsung-SM-G850A
Samsung | Galaxy Alpha | sltecan | SM-G850W
Samsung | Galaxy Alpha | sltechn | SM-G8508S
Samsung | Galaxy Alpha | sltektt | SM-G850K
Samsung | Galaxy Alpha | sltelgt | SM-G850L
Samsung | Galaxy Alpha | slteskt | SM-G850S
Samsung | Galaxy Amp | kyleatt Samsung-SGH-I407
Samsung | Galaxy Apollo | GT-I5800 | GT-I5800
Samsung | Galaxy Apollo | GT-I5800 | GT-I5800L
Samsung | Galaxy Apollo | GT-I5800D | GT-I5800D
Samsung | Galaxy Apollo | GT-I5801 | GT-I5801
Samsung | Galaxy Appeal | SGH-I827 Samsung-SGH-I827
Samsung | Galaxy Attain | SCH-R920 | SCH-R920
Samsung | Galaxy Avant | afyonltetmo | SM-G386T
Samsung | Galaxy Axiom | infiniteusc | SCH-R830
Samsung | Galaxy Beam | GT-I8250 | GT-I8250
Samsung | Galaxy Beam | GT-I8530 | GT-I8530
Samsung | Galaxy C5 Pro | c5proltechn | SM-C5010
Samsung | Galaxy C5 Pro | c5proltechn | SM-C5018
Samsung | Galaxy C5 | c5ltechn | SM-C5000
Samsung | Galaxy C5 | c5ltechn | SM-C500X
Samsung | Galaxy C5 | c5pltechn | SM-C5000
Samsung | Galaxy C7 Pro | c7prolte | SM-C701F
Samsung | Galaxy C7 Pro | c7proltechn | SM-C7010
Samsung | Galaxy C7 Pro | c7proltechn | SM-C7018
Samsung | Galaxy C7 | c7ltechn | SM-C7000
Samsung | Galaxy C7 | c7ltechn | SM-C700X
Samsung | Galaxy C7 | c7proltechn | SM-C701X
Samsung | Galaxy C8 | jadeltechn | SM-C7100
Samsung | Galaxy C8 | jadeltechn | SM-C710X
Samsung | Galaxy C8 | jadeltecmcc | SM-C7108
Samsung | Galaxy C9 Pro | c9lte | SM-C900F
Samsung | Galaxy C9 Pro | c9lte | SM-C900Y
Samsung | Galaxy C9 Pro | c9ltechn | SM-C9000
Samsung | Galaxy C9 Pro | c9ltechn | SM-C9008
Samsung | Galaxy C9 Pro | c9ltechn | SM-C900X
Samsung | Galaxy Camera 2 | sf2wifi | EK-GC200
Samsung | GALAXY Camera | gd1 | EK-GC100
Samsung | Galaxy Camera | gd1 | EK-GC100
Samsung | Galaxy Camera | gd1att Samsung-EK-GC100
Samsung | Galaxy Camera | gd1can | EK-GC100
Samsung | Galaxy Camera | gd1ktt | EK-KC100K
Samsung | Galaxy Camera | gd1ltelgt | EK-KC120L
Samsung | Galaxy Camera | gd1lteskt | EK-KC120S
Samsung | Galaxy Camera | gd1ltevzw | EK-GC120
Samsung | Galaxy Camera | gd1skt | EK-KC100S
Samsung | Galaxy Camera | gd1wifi | EK-GC110
Samsung | Galaxy Camera | gd1wifiany | EK-GC110
Samsung | Galaxy Camera | u0lte | EK-GN100
Samsung | Galaxy Camera | u0lte | EK-GN120
Samsung | Galaxy Centura | amazing3gtrf | SCH-S738C
Samsung | Galaxy Chat | zanin | GT-B5330
Samsung | Galaxy Chat | zanin | GT-B5330B
Samsung | Galaxy Chat | zanin | GT-B5330L
Samsung | Galaxy Core 2 | kanas | SM-G355H
Samsung | Galaxy Core Advance | cane3g | GT-I8580
Samsung | Galaxy Core Advance | cane3gskt | SHW-M570S
Samsung | Galaxy Core Lite | victorlte | SM-G3586V
Samsung | Galaxy Core Lite | victorlte | SM-G3589W
Samsung | Galaxy Core LTE | afyonlte | SM-G386F
Samsung | Galaxy Core LTE | cs03lte | SM-G3518
Samsung | Galaxy Core Max Duos | kleoslte | SM-G5108Q
Samsung | Galaxy Core Max | kleoslte | SM-G5108
Samsung | Galaxy Core Plus | cs02 | SM-G350
Samsung | Galaxy Core Plus | cs023g | SM-G3502
Samsung | Galaxy Core Plus | cs02ve3g | SM-G3502L
Samsung | Galaxy Core Plus | cs02ve3gdtv | SM-G3502T
Samsung | Galaxy Core Plus | cs02ve3gss | SM-G350L
Samsung | Galaxy Core Plus | cs02ve3gss | SM-G350M
Samsung | Galaxy Core Prime | core33g | SM-G360H
Samsung | Galaxy Core Prime | core33g | SM-G360HU
Samsung | Galaxy Core Prime | coreprimelte | SM-G360F
Samsung | Galaxy Core Prime | coreprimelte | SM-G360FY
Samsung | Galaxy Core Prime | coreprimelte | SM-G360M
Samsung | Galaxy Core Prime | coreprimelteaio Samsung-SM-G360AZ
Samsung | Galaxy Core Prime | coreprimeltelra | SM-G360R6
Samsung | Galaxy Core Prime | coreprimeltespr | SM-G360P
Samsung | Galaxy Core Prime | coreprimeltetfnvzw | SM-S820L
Samsung | Galaxy Core Prime | coreprimeltevzw | SM-G360V
Samsung | Galaxy Core Prime | coreprimeve3g | SM-G361H
Samsung | Galaxy Core Prime | coreprimeve3g | SM-G361HU
Samsung | Galaxy Core Prime | coreprimevelte | SM-G361F
Samsung | Galaxy Core Prime | coreprimevelte | SM-G361M
Samsung | Galaxy Core Prime | cprimeltemtr | SM-G360T1
Samsung | Galaxy Core Prime | cprimeltetmo | SM-G360T
Samsung | Galaxy Core Prime | rossalte | SM-G3606
Samsung | Galaxy Core Prime | rossalte | SM-G3608
Samsung | Galaxy Core Prime | rossaltectc | SM-G3609
Samsung | Galaxy Core Prime | rossaltexsa | SM-G360GY
Samsung | Galaxy Core Safe | arubaslimss | GT-I8260E
Samsung | Galaxy Core Safe | arubaslimss | SHW-M580D
Samsung | Galaxy Core Safe | arubaslimss | SHW-M585D
Samsung | Galaxy Core | afyonltecan | SM-G386W
Samsung | Galaxy Core | afyonlteMetroPCS | SM-G386T1
Samsung | Galaxy Core | arubaslim | GT-I8262
Samsung | Galaxy Core | arubaslimss | GT-I8260
Samsung | Galaxy Core | arubaslimss | GT-I8260L
Samsung | Galaxy Core2 | kanas | SM-G355H
Samsung | Galaxy Core2 | kanas | SM-G355HQ
Samsung | Galaxy Core2 | kanas | SM-G355M
Samsung | Galaxy Core2 | kanas3g | SM-G3556D
Samsung | Galaxy Core2 | kanas3gcmcc | SM-G3558
Samsung | Galaxy Core2 | kanas3gctc | SM-G3559
Samsung | Galaxy Core2 | kanas3gnfc | SM-G355HN
Samsung | Galaxy Discover | amazing3gcri | SCH-R740C
Samsung | Galaxy Discover | amazingtrfcd | SCH-S735C
Samsung | Galaxy Duos | aruba3gcmcc | GT-I8268
Samsung | Galaxy E5 | e53g | SM-E500H
Samsung | Galaxy E5 | e5lte | SM-E500F
Samsung | Galaxy E5 | e5lte | SM-E500M
Samsung | Galaxy E5 | e5ltetfnvzw | SM-S978L
Samsung | Galaxy E5 | e5ltetw | SM-E500YZ
Samsung | Galaxy E7 | e73g | SM-E700H
Samsung | Galaxy E7 | e7lte | SM-E700F
Samsung | Galaxy E7 | e7lte | SM-E700M
Samsung | Galaxy E7 | e7ltechn | SM-E7000
Samsung | Galaxy E7 | e7ltectc | SM-E7009
Samsung | Galaxy E7 | e7ltehktw | SM-E7000
Samsung | Galaxy Elite | elite3gkx | SM-G165N
Samsung | Galaxy Elite | eliteltekx | SM-G160N
Samsung | Galaxy Europa | GT-I5500 | GT-I5500
Samsung | Galaxy Europa | GT-I5503 | GT-I5503
Samsung | Galaxy Europa | GT-I5508 | GT-I5508
Samsung | Galaxy Europa | GT-I5510 | GT-I5510
Samsung | Galaxy Exhibit | codinaMetroPCS | SGH-T599N
Samsung | Galaxy Exhibit | codinatmo | SGH-T599
Samsung | Galaxy Exhibit | codinavid | SGH-T599V
Samsung | Galaxy Exhibit2 | SGH-T679 | SGH-T679
Samsung | Galaxy Exhilarate | SGH-I577 Samsung-SGH-I577
Samsung | Galaxy Express | expressatt Samsung-SGH-I437
Samsung | Galaxy Express | expressatt Samsung-SGH-I437P
Samsung | Galaxy Express | expresslte | GT-I8730
Samsung | Galaxy Express | expresslte | GT-I8730T
Samsung | Galaxy Express | expressziglteatt Samsung-SGH-I437Z
Samsung | Galaxy Express2 | wilcoxlte | SM-G3815
Samsung | Galaxy Fame Lite Duos | nevisw | GT-S6792L
Samsung | Galaxy Fame | nevis | GT-S6810
Samsung | Galaxy Fame | nevis | GT-S6810B
Samsung | Galaxy Fame | nevis | GT-S6810E
Samsung | Galaxy Fame | nevis | GT-S6810L
Samsung | Galaxy Fame | nevis3g | GT-S6812i
Samsung | Galaxy Fame | nevis3gcmcc | GT-S6818
Samsung | Galaxy Fame | nevis3gcmcc | GT-S6818V
Samsung | Galaxy Fame | nevisds | GT-S6812
Samsung | Galaxy Fame | nevisds | GT-S6812B
Samsung | Galaxy Fame | nevisnvess | GT-S6790N
Samsung | Galaxy Fame | nevisp | GT-S6810M
Samsung | Galaxy Fame | nevisp | GT-S6810P
Samsung | Galaxy Fame | nevisvess | GT-S6790
Samsung | Galaxy Fame | nevisvess | GT-S6790E
Samsung | Galaxy Fame | nevisvess | GT-S6790L
Samsung | Galaxy Fame | nevisw | GT-S6812C
Samsung | Galaxy Fame | SCH-I629 | SCH-I629
Samsung | Galaxy Feel | SC-04J | SC-04J
Samsung | Galaxy Fit | GT-S5670 | GT-S5670
Samsung | Galaxy Fit | GT-S5670B | GT-S5670B
Samsung | Galaxy Fit | GT-S5670L | GT-S5670L
Samsung | Galaxy Folder | novel3gskt | SM-G155S
Samsung | Galaxy Folder | novelltektt | SM-G150NK
Samsung | Galaxy Folder | novelltekx | SM-G150N0
Samsung | Galaxy Folder | novelltelgt | SM-G150NL
Samsung | Galaxy Folder | novellteskt | SM-G150NS
Samsung | Galaxy Fresh | kylevess | GT-S7390
Samsung | Galaxy Fresh | kylevess | GT-S7390E
Samsung | Galaxy Fresh | kylevess | GT-S7390G
Samsung | Galaxy Gio | GT-S5660 | GT-S5660
Samsung | Galaxy Gio | GT-S5660B | GT-S5660B
Samsung | Galaxy Gio | GT-S5660L | GT-S5660L
Samsung | Galaxy Gio | GT-S5660M | GT-S5660M
Samsung | Galaxy Gio | GT-S5660V | GT-S5660V
Samsung | Galaxy Gio | SCH-i569 | SCH-i569
Samsung | Galaxy Gio | SHW-M290K | SHW-M290K
Samsung | Galaxy Gio | SHW-M290S | SHW-M290S
Samsung | Galaxy Go Prime | grandprimelteatt Samsung-SM-G530A
Samsung | Galaxy Golden 2 | pateklte | SM-W2015
Samsung | Galaxy Golden | ks02lte | GT-I9230
Samsung | Galaxy Golden | ks02lte | GT-I9235
Samsung | Galaxy Golden | ks02ltektt | SHV-E400K
Samsung | Galaxy Golden | ks02lteskt | SHV-E400S
Samsung | Galaxy Grand Duos | baffin | GT-I9082
Samsung | Galaxy Grand duos | baffin | GT-I9082i
Samsung | Galaxy Grand Duos | baffin | GT-I9082L
Samsung | Galaxy Grand Max | grandmax3g | SM-G7202
Samsung | Galaxy Grand Max | grandmaxltechn | SM-G7200
Samsung | Galaxy Grand Max | grandmaxltechn | SM-G720AX
Samsung | Galaxy Grand Neo Plus | grandneove3g | GT-I9060C
Samsung | Galaxy Grand Neo Plus | grandneove3g | GT-I9060I
Samsung | Galaxy Grand Neo Plus | grandneove3g | GT-I9060M
Samsung | Galaxy Grand Neo | baffinlite | GT-I9060
Samsung | Galaxy Grand Neo | baffinlite | GT-I9060L
Samsung | Galaxy Grand Neo | baffinlite | GT-I9082C
Samsung | Galaxy Grand Neo | baffinlitedtv | GT-I9063T
Samsung | Galaxy Grand Neo | baffinq3g | GT-I9168
Samsung | Galaxy Grand Neo | baffinq3g | GT-I9168I
Samsung | Galaxy Grand Neo+ | baffinq3gduosctc | SCH-I879E
Samsung | Galaxy Grand Prime | fortuna3g | SM-G530H
Samsung | Galaxy Grand Prime | fortuna3gdtv | SM-G530BT
Samsung | Galaxy Grand Prime | fortunalte | SM-G5306W
Samsung | Galaxy Grand Prime | fortunalte | SM-G5308W
Samsung | Galaxy Grand Prime | fortunalte | SM-G530F
Samsung | Galaxy Grand Prime | fortunalte | SM-G530M
Samsung | Galaxy Grand Prime | fortunaltectc | SM-G5309W
Samsung | Galaxy Grand Prime | fortunaltezh | SM-G5308W
Samsung | Galaxy Grand Prime | fortunaltezt | SM-G530MU
Samsung | Galaxy Grand Prime | fortunaltezt | SM-G530Y
Samsung | Galaxy Grand Prime | fortunave3g | SM-G530H
Samsung | Galaxy Grand Prime | gprimelteacg | gprimelteacg
Samsung | Galaxy Grand Prime | gprimelteacg | SM-G530R7
Samsung | Galaxy Grand Prime | gprimeltecan | SM-G530W
Samsung | Galaxy Grand Prime | gprimeltemtr | SM-G530T1
Samsung | Galaxy Grand Prime | gprimeltespr | SM-G530P
Samsung | Galaxy Grand Prime | gprimeltetfnvzw | SM-S920L
Samsung | Galaxy Grand Prime | gprimeltetmo | SM-G530T
Samsung | Galaxy Grand Prime | gprimelteusc | SM-G530R4
Samsung | Galaxy Grand Prime | grandprimelte | SM-G530FZ
Samsung | Galaxy Grand Prime | grandprimelteaio Samsung-SM-G530AZ
Samsung | Galaxy Grand Prime | grandprimeve3g | SM-G531H
Samsung | Galaxy Grand Prime | grandprimeve3gdtv | SM-G531BT
Samsung | Galaxy Grand Prime | grandprimevelte | SM-G531F
Samsung | Galaxy Grand Prime | grandprimevelteltn | SM-G531M
Samsung | Galaxy Grand Prime | grandprimeveltezt | SM-G531Y
Samsung | Galaxy Grand | baffin3gduosctc | SCH-I879
Samsung | Galaxy Grand | baffincmcc | GT-I9128
Samsung | Galaxy Grand | baffincmcc | GT-I9128V
Samsung | Galaxy Grand | baffinltektt | SHV-E270K
Samsung | Galaxy Grand | baffinlteskt | SHV-E270S
Samsung | Galaxy Grand | baffinrd | GT-I9118
Samsung | Galaxy Grand | baffinss | GT-I9080E
Samsung | Galaxy Grand | baffinss | GT-I9080L
Samsung | Galaxy Grand | baffinvektt | SHV-E275K
Samsung | Galaxy Grand | baffinveskt | SHV-E275S
Samsung | Galaxy Grand | baffinvetd3g | GT-I9128E
Samsung | Galaxy Grand | baffinvetd3g | GT-I9128I
Samsung | Galaxy Grand-Max | grandmaxltekx | SM-G720N0
Samsung | Galaxy Grand2 | ms013g | SM-G7102
Samsung | Galaxy Grand2 | ms013g | SM-G7106
Samsung | Galaxy Grand2 | ms013g | SM-G7108
Samsung | Galaxy Grand2 | ms013g | SM-G7109
Samsung | Galaxy Grand2 | ms013gdtv | SM-G7102T
Samsung | Galaxy Grand2 | ms013gss | SM-G710
Samsung | Galaxy Grand2 | ms01lte | SM-G7105
Samsung | Galaxy Grand2 | ms01lte | SM-G7105H
Samsung | Galaxy Grand2 | ms01lte | SM-G7105L
Samsung | Galaxy Grand2 | ms01ltektt | SM-G710K
Samsung | Galaxy Grand2 | ms01ltelgt | SM-G710L
Samsung | Galaxy Grand2 | ms01lteskt | SM-G710S
Samsung | Galaxy Indulge | SCH-R910 | SCH-R910
Samsung | Galaxy Indulge | SCH-R915 | SCH-R915
Samsung | Galaxy Infinite | infinite3gduosctc | SCH-I759
Samsung | Galaxy J | hltejs01tw | SGH-N075T
Samsung | Galaxy J1 Ace | j1acelte | SM-J110F
Samsung | Galaxy J1 Ace | j1acelte | SM-J110G
Samsung | Galaxy J1 Ace | j1acelteltn | SM-J110M
Samsung | Galaxy J1 Ace | j1acevelte | SM-J111F
Samsung | Galaxy J1 Ace | j1acevelte | SM-J111M
Samsung | Galaxy J1 Ace | j1pop3g | SM-J110H
Samsung | Galaxy J1 Ace | j1pop3g | SM-J110L
Samsung | Galaxy J1 Mini Prime | j1minive3g | SM-J106B
Samsung | Galaxy J1 Mini Prime | j1minive3g | SM-J106H
